Red,Dodge,Charger,2019,Gas,Car,4S4BP61C997324870
White,Ford,F150,2018,Gas,Truck,1C4PJLCS6EW295391
Blue,Mazda,Mazda3,2017,Gas,Car,1N4AL3AP5DC227559
Orange,Toyota,Tacoma,2017,Gas,Truck,5NPEB4AC3DH767238
Purple,BMW,i9,2018,Gas,Car,5FRYD4H41EB014599
Black,Subaru,Outback,2019,Gas,SUV,4S4BP61C997324871
Grey,Dodge,RAM,2019,Gas,Truck,1C4PJLCS6EW295392
Red,Ford,Fusion,2018,Diesel,Car,1N4AL3AP5DC227560
White,Mazda,Mazda6,2017,Gas,Car,5NPEB4AC3DH767239
Blue,Toyota,Camry,2017,Gas,Car,5FRYD4H41EB014600
Orange,BMW,i5,2018,Gas,Car,4S4BP61C997324872
Purple,Subaru,Legacy,2019,Gas,Car,1C4PJLCS6EW295393
Black,Dodge,Charger,2019,Diesel,Car,1N4AL3AP5DC227561
Grey,Ford,F150,2018,Diesel,Truck,5NPEB4AC3DH767240
Red,Mazda,Mazda3,2017,Gas,Car,5FRYD4H41EB014601
White,Toyota,Tacoma,2017,Diesel,Truck,4S4BP61C997324873
Blue,BMW,i9,2018,Gas,Car,1C4PJLCS6EW295394
Orange,Subaru,Outback,2019,Gas,SUV,1N4AL3AP5DC227562
Purple,Dodge,RAM,2019,Diesel,Truck,5NPEB4AC3DH767241
Black,Ford,Fusion,2018,Gas,Car,5FRYD4H41EB014602
Grey,Mazda,Mazda6,2017,Gas,Car,4S4BP61C997324874
